step,true_count_mean,pred_count_mean,q_true_mean,q_rollout_mean
0,44.515625,44.515625,44.51679128014766,44.51679128014766
1,44.515625,44.515625,44.52253173470349,112.04205968342768
2,44.515625,44.484375,44.52279336668971,119.34692434944725
3,44.515625,44.515625,44.52155004459417,122.80880195515878
4,44.515625,44.515625,44.52170384675664,123.78418345200282
5,44.515625,44.515625,44.51974249059328,123.38369642836764
6,44.515625,44.515625,44.51838869233553,121.80668330260123
7,44.515625,44.515625,44.5180064724597,119.60250631627704
8,44.515625,44.515625,44.51765784949582,116.95778893676942
9,44.515625,44.515625,44.517610540305405,114.08185624046801
10,44.515625,44.515625,44.51704744971234,111.15735061614991
11,44.515625,44.515625,44.516707662334056,108.26855769407203
12,44.515625,44.515625,44.51619519456654,105.49516112249214
13,44.515625,44.515625,44.5163216104713,102.84651786568607
14,44.515625,44.515625,44.51620589709216,100.39638606342291
15,44.515625,44.515625,44.51623322617915,98.14172317037006
16,44.515625,44.515625,44.51573722494305,96.08179619410178
17,44.515625,44.515625,44.5149435741429,94.21763502858734
18,44.515625,44.515625,44.51496389341302,92.54675756649071
19,44.515625,44.515625,44.51484346227355,91.07432519783733
20,44.515625,44.515625,44.51475413445462,89.78151338138498
21,44.515625,44.515625,44.514753965663246,88.65391354152686
22,44.515625,44.515625,44.51480314229155,87.69151351628746
23,44.515625,44.515625,44.51469132160344,86.87626783254095
24,44.515625,44.515625,44.51469138426157,86.19812516253475
25,44.515625,44.515625,44.51469115184885,85.64700246772755
26,44.515625,44.515625,44.51469131812336,85.21150049610327
27,44.515625,44.484375,44.514697192905466,84.88955372857352
28,44.515625,44.515625,44.51464761499408,84.67131139295894
29,44.515625,44.515625,44.51450355085319,84.54380105481727
30,44.515625,44.53125,44.514523493457276,84.49813599864541
31,44.515625,44.546875,44.51452330520699,84.51021079071366
32,44.515625,44.515625,44.514523566334375,84.58200813228926
33,44.515625,44.53125,44.51452347162791,84.71161076036806
34,44.515625,44.5625,44.51452337343934,84.88776730382786
35,44.515625,44.609375,44.514523260753215,85.10176999123097
36,44.515625,44.640625,44.5145233876637,85.34956719263036
37,44.515625,44.640625,44.514523513931046,85.62927266068526
38,44.515625,44.671875,44.514523350202396,85.94137626414754
39,44.515625,44.625,44.51452325568307,86.27732412396367
40,44.515625,44.65625,44.514523466669345,86.63110544713118
41,44.515625,44.734375,44.514523102777446,87.00118986739227
42,44.515625,44.765625,44.51452351185812,87.38218106001696
43,44.515625,44.765625,44.51452335371046,87.77414557285435
44,44.515625,44.734375,44.51452355579987,88.17280262656847
45,44.515625,44.734375,44.51452333727348,88.5747974464034
46,44.515625,44.765625,44.51452343338489,88.98030190685607
47,44.515625,44.828125,44.51452326284861,89.38478705863511
48,44.515625,44.8125,44.51452330387189,89.78522348096038
49,44.515625,44.84375,44.51452340345729,90.18293683827785
50,44.515625,44.90625,44.514523394918704,90.58049020814653
51,44.515625,45.0625,44.514523286425614,90.97672677735511
52,44.515625,45.125,44.51452348192379,91.37360339962375
53,44.515625,45.25,44.514523221431695,91.7672106032435
54,44.515625,45.25,44.51452362512319,92.16250140943698
55,44.515625,45.296875,44.51452325592017,92.55677137161304
56,44.515625,45.296875,44.51452344212575,92.9512425875558
57,44.515625,45.359375,44.51452327537324,93.34593421725793
58,44.515625,45.359375,44.514523331183085,93.74116986745946
59,44.515625,45.375,44.51452336207089,94.12571178723073
60,44.515625,45.453125,44.51452332334407,94.50724581472048
